"","logFC","logCPM","F","PValue","FDR"
"ENSG00000103502",0.818565166225525,7.27959643413751,116.572065936786,1.91185661374072e-06,0.00073031339452177
"ENSG00000119138",2.10619604736065,6.29960048443042,116.161759588925,1.94038194092478e-06,0.00073031339452177
"ENSG00000157150",2.92594481619146,2.9852118482722,116.056934211254,1.95327729216823e-06,0.00073031339452177
"ENSG00000132356",0.860931682206232,6.80210169449132,114.909096379743,2.03070790873025e-06,0.000740367545818973
"ENSG00000185950",2.15904194980083,6.5300192443086,113.742467582229,2.11951065796758e-06,0.000740367545818973
"ENSG00000113456",0.827125637232386,5.4684511160894,113.393192392805,2.14701883045392e-06,0.000740367545818973
"ENSG00000157613",-0.982907584185865,7.02653953725652,112.897890479265,2.18676177381103e-06,0.000740367545818973
"ENSG00000110756",1.5866867455759,5.54190423706573,111.379463471634,2.31439294633202e-06,0.000740367545818973
"ENSG00000122877",-3.03695871539672,-0.149159138232727,101.795942293734,2.31698749645482e-06,0.000740367545818973
"ENSG00000141401",2.34910849470612,4.87647298693824,111.13932887352,2.33582645713942e-06,0.000740367545818973
"ENSG00000128311",1.30090495358166,3.89346233354637,110.457635256642,2.39697270935305e-06,0.000740367545818973
"ENSG00000187193",3.13721799442425,0.844695034424111,112.801817162682,2.39836745405282e-06,0.000740367545818973
"ENSG00000221869",1.49499793160075,6.52199402392367,109.456043545335,2.48936849489871e-06,0.000740367545818973
"ENSG00000134253",-1.97187572110317,2.70541572184903,109.113127831187,2.52758380648157e-06,0.000740367545818973
"ENSG00000112773",-1.19723301527021,4.60369615959006,109.048193132583,2.52887440287941e-06,0.000740367545818973
"ENSG00000157110",0.890318385776203,7.11920450269296,108.932404654458,2.53978052231638e-06,0.000740367545818973
"ENSG00000163110",1.58242849930786,5.94275985299651,107.17804323887,2.71805643601461e-06,0.000768089916588615
"ENSG00000146006",-4.05247577851871,1.21402049636214,106.403822166419,2.72419820407614e-06,0.000768089916588615
"ENSG00000131871",0.682918335467903,5.2412143991249,106.540801320804,2.78658146205456e-06,0.000771480330635625
"ENSG00000103485",-1.2142004989822,5.34421401087407,106.184379558889,2.82593527705357e-06,0.000771480330635625
"ENSG00000135821",3.00178543896174,9.84204679143468,105.387120123491,2.91606187790052e-06,0.000783646066218923
"ENSG00000165995",3.29332027813557,4.53341249981633,103.6036140961,3.13314525099304e-06,0.000805869848909823
"ENSG00000227051",-1.14856156929789,7.75657495781968,103.377252278684,3.1597340293514e-06,0.000805869848909823
"ENSG00000105516",-1.65483251607089,2.02410998751799,103.295742355805,3.18173375320687e-06,0.000805869848909823
"ENSG00000131389",-2.12540457494867,5.12143920737631,102.896369802681,3.22213463146722e-06,0.000805869848909823
"ENSG00000174306",1.13797551725043,7.24223915842175,102.809459833771,3.23303794260002e-06,0.000805869848909823
"ENSG00000173838",3.84317556531418,1.17841864296673,103.612064818366,3.41342953564733e-06,0.000838679636908549
"ENSG00000103196",2.6969717403523,7.17208123393242,100.589359466832,3.54040161537461e-06,0.00084031023411075
"ENSG00000152463",3.76337491465304,-1.20504420543758,56.001248328918,3.57673139803497e-06,0.00084031023411075
"ENSG00000196975",1.18967496387907,7.84379003529403,100.216516442239,3.59545620725173e-06,0.00084031023411075
"ENSG00000151726",1.60079159114263,6.09487656049177,100.082632995427,3.6154984199195e-06,0.00084031023411075
"ENSG00000072958",1.08425464981306,6.63926754891472,99.3354180447582,3.72980564089411e-06,0.000855319029569836
"ENSG00000128923",1.03153714267714,6.05066350657563,98.2793315334886,3.8990234000985e-06,0.000877821755093805
"ENSG00000067369",-0.762825996104132,6.46007283185736,98.0919674869705,3.93001192756689e-06,0.000877821755093805
"ENSG00000087448",1.05531730989708,5.41011284251892,97.7376292325667,3.98947532971486e-06,0.000879679310202127
"ENSG00000112837",-1.80776294284662,7.01240136269453,97.1956414114293,4.08251668088907e-06,0.000888800055627988
"ENSG00000162426",1.28757598114336,2.99273505715468,96.4733826274466,4.21413277408123e-06,0.000905985869767788
"ENSG00000162704",0.883039344320518,6.91647765455468,95.0387141116597,4.48022124395887e-06,0.000951300310800599
"ENSG00000019995",0.916945354403238,6.60401749620629,94.328350691461,4.62147815212784e-06,0.000969326862663985
"ENSG00000177283",2.45771802871075,2.44591658490749,93.2321771608477,4.86529761467346e-06,0.0010058535787783
"ENSG00000198795",-0.999675963691219,5.47081163260126,92.9236575774576,4.91721883202411e-06,0.0010058535787783
"ENSG00000118689",1.26790283376424,7.91694050923933,92.6787694211571,4.9710770507678e-06,0.0010058535787783
"ENSG00000124766",-2.35789915618064,5.91037013212126,91.0773689054452,5.34215140681654e-06,0.00106836816332369
"ENSG00000120690",0.918016426257506,6.01791614141352,90.421996150602,5.50338164428456e-06,0.00107717414438356
"ENSG00000051108",0.744504893141689,6.73297700425548,90.3070333921932,5.53230797545207e-06,0.00107717414438356
"ENSG00000146592",-1.99749234137498,4.97634799798815,90.1452910719606,5.5740740072177e-06,0.00107717414438356
"ENSG00000231246",3.28692252637193,-1.53663068135314,51.4186270486271,5.79195293812945e-06,0.00110684220647654
"ENSG00000169738",2.14453546867462,4.876670256322,88.3824959915108,6.04649323131793e-06,0.00113072430464445
"ENSG00000104756",0.823155331350502,6.37958631687515,88.3722295699826,6.04841188599859e-06,0.00113072430464445
"ENSG00000042286",0.701544804577922,4.80177420562651,87.8662887034657,6.19303661406245e-06,0.00113704107670472
"ENSG00000173068",-0.879001945884215,7.03232996027875,87.7923938634429,6.21442300193289e-06,0.00113704107670472
"ENSG00000137672",1.95383842113219,4.94025059335932,87.297734440044,6.36143900770799e-06,0.00115168831045863
"ENSG00000163884",4.57707456370382,4.71503789384581,86.8705932274239,6.50186521536948e-06,0.00115802068760962
