"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000106484",678.713915920672,-1.77296050280248,0.612207292839062,-2.89601336596387,0.00377936302576819,0.0273748457001588
"ENSG00000106524",341.464635721064,-0.649091085939208,0.113653547295723,-5.71113793967465,1.12223236459801e-08,4.50785234603867e-07
"ENSG00000106571",812.43975936752,-0.51035026881199,0.104434242783614,-4.88680968242786,1.02483073018577e-06,2.52989028939461e-05
"ENSG00000106615",2196.61783165255,0.955262029578203,0.143813311630933,6.64237558223876,3.08667193500798e-11,2.25287646933008e-09
"ENSG00000106617",1019.95025521055,1.5728115936521,0.260961506161987,6.02698695598351,1.67044479118737e-09,8.09363532724456e-08
"ENSG00000106772",5672.40394395181,0.817568330092183,0.226505559422212,3.60948460681362,0.000306805978425995,0.00361672587076472
"ENSG00000106780",1355.29599688772,0.304294875341661,0.10906240118435,2.79009880616241,0.00526919585087372,0.0354540719400527
"ENSG00000106948",523.222927417001,-0.773361206729607,0.248383057963042,-3.11358275830826,0.0018483066625417,0.015663120492053
"ENSG00000106976",886.464850413302,-1.75651309472419,0.202721766339402,-8.66464971395026,4.52903349443612e-18,8.443693749627e-16
"ENSG00000106991",2744.01578889667,-0.422676312133732,0.139350701236855,-3.03318396234912,0.00241988032509744,0.019499486312392
"ENSG00000106993",404.382453739228,0.5797491484288,0.168845590378467,3.43360550387661,0.000595610358603525,0.00622921272607785
"ENSG00000107104",1278.85653162966,1.22906670307497,0.267739159584673,4.59053768967358,4.42105612426655e-06,9.35017936417014e-05
"ENSG00000107130",1077.79188578036,-0.488936223857751,0.147312976005349,-3.31903025189036,0.000903306428827396,0.00875339653516807
"ENSG00000107249",696.901916633257,0.370277197749702,0.126340388784561,2.93079039341179,0.00338100825323155,0.0252574275084615
"ENSG00000107338",118.585368667368,-0.996850609024548,0.175444924315882,-5.6818435352952,1.33250538838019e-08,5.23000741910686e-07
"ENSG00000107362",200.751670447088,0.465212796496891,0.155379435167325,2.99404355535153,0.00275306640445681,0.0214444118843066
"ENSG00000107372",5472.45892897376,0.795358673633677,0.285887848469763,2.78206533747725,0.00540141646611871,0.0360767504777524
"ENSG00000107438",2874.28729964826,0.742329945794912,0.213293188102881,3.48032655143611,0.00050080297421523,0.00542283624604774
"ENSG00000107562",25180.2998964898,-1.95067627218033,0.279406812996208,-6.98149143631228,2.9206271327083e-12,2.59557495234263e-10
"ENSG00000107611",41.168600138304,-1.544323874042,0.350089203532138,-4.41122964793239,1.02785232948907e-05,0.000196528524007013
"ENSG00000107679",661.826375077863,0.304426014716463,0.113997548987976,2.67046105305802,0.00757471584648357,0.0472098569036651
"ENSG00000107731",563.221059508054,-1.02730430112728,0.247629011374176,-4.14856197755837,3.3457027326611e-05,0.000543423231729197
"ENSG00000107796",2431.51620138059,1.17889634116753,0.289078324501119,4.07812084562902,4.54011679323623e-05,0.000707928029432617
"ENSG00000107821",485.1235029974,-1.08570461226165,0.317283227442326,-3.42187836720429,0.000621901279418723,0.00644133499069441
"ENSG00000107882",737.900623218755,-0.492679489679331,0.0940979774633207,-5.23581380770248,1.64259479615008e-07,4.91689108962761e-06
"ENSG00000107929",1242.32723925107,0.598586750615676,0.146939035164182,4.07370818752721,4.62704516428247e-05,0.000720173127565997
"ENSG00000107937",775.612907289639,0.499406151124601,0.148809099644273,3.35601890152167,0.000790731643241647,0.00786695426037165
"ENSG00000107968",537.550399907922,1.13125429492118,0.176015980028607,6.42699767792286,1.30148808753257e-10,8.20703076373479e-09
"ENSG00000108061",1268.73025419712,0.273832462198416,0.0896081330838149,3.05588848662082,0.00224394695756452,0.0183539238035988
"ENSG00000108256",2445.21783983196,0.388566531225765,0.0647600717469494,6.00009420533214,1.97203085242016e-09,9.47458632512903e-08
"ENSG00000108262",1193.02207309247,0.584233294350725,0.160108022408807,3.6489945073395,0.000263268732265561,0.00317105708976047
