"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030330","GO:0030330","DNA damage response, signal transduction by p53 class mediator","18/2281","76/21288",0.236842105263158,2.21038787235515,3.66187601594316,0.000917926143090677,0.0146586466431156,0.0114910662683313,"ENSG00000004487/ENSG00000064393/ENSG00000069399/ENSG00000101843/ENSG00000111206/ENSG00000118689/ENSG00000124762/ENSG00000124766/ENSG00000130766/ENSG00000135679/ENSG00000145632/ENSG00000148677/ENSG00000161642/ENSG00000165891/ENSG00000170836/ENSG00000177595/ENSG00000185499/ENSG00000198369",18
"GO:0035019","GO:0035019","somatic stem cell population maintenance","18/2281","76/21288",0.236842105263158,2.21038787235515,3.66187601594316,0.000917926143090677,0.0146586466431156,0.0114910662683313,"ENSG00000116128/ENSG00000118579/ENSG00000124766/ENSG00000125398/ENSG00000128342/ENSG00000132155/ENSG00000135801/ENSG00000136997/ENSG00000137693/ENSG00000152518/ENSG00000155090/ENSG00000168214/ENSG00000168610/ENSG00000169744/ENSG00000178764/ENSG00000180182/ENSG00000198728/ENSG00000213626",18
"GO:0001952","GO:0001952","regulation of cell-matrix adhesion","28/2281","141/21288",0.198581560283688,1.85331181732536,3.52172969391769,0.000928244466973008,0.0147479858823905,0.0115611002314838,"ENSG00000035403/ENSG00000046653/ENSG00000067900/ENSG00000073712/ENSG00000101384/ENSG00000105810/ENSG00000108861/ENSG00000112715/ENSG00000113916/ENSG00000120899/ENSG00000126458/ENSG00000134318/ENSG00000136238/ENSG00000137076/ENSG00000137801/ENSG00000139567/ENSG00000144824/ENSG00000145675/ENSG00000166949/ENSG00000167657/ENSG00000168309/ENSG00000171862/ENSG00000173517/ENSG00000184009/ENSG00000184371/ENSG00000186575/ENSG00000198728/ENSG00000213853",28
"GO:0032388","GO:0032388","positive regulation of intracellular transport","28/2281","141/21288",0.198581560283688,1.85331181732536,3.52172969391769,0.000928244466973008,0.0147479858823905,0.0115611002314838,"ENSG00000018189/ENSG00000073756/ENSG00000080815/ENSG00000080824/ENSG00000088888/ENSG00000096968/ENSG00000106571/ENSG00000112062/ENSG00000114209/ENSG00000116171/ENSG00000117280/ENSG00000135362/ENSG00000135679/ENSG00000137642/ENSG00000145675/ENSG00000149541/ENSG00000151929/ENSG00000166949/ENSG00000169057/ENSG00000174697/ENSG00000178028/ENSG00000182718/ENSG00000184304/ENSG00000186198/ENSG00000186575/ENSG00000196924/ENSG00000197121/ENSG00000203965",28
"GO:0046824","GO:0046824","positive regulation of nucleocytoplasmic transport","16/2281","64/21288",0.25,2.33318719859711,3.70024592255608,0.000933080254203999,0.0147497547018982,0.0115624868275779,"ENSG00000073756/ENSG00000080815/ENSG00000080824/ENSG00000088888/ENSG00000096968/ENSG00000106571/ENSG00000112062/ENSG00000135679/ENSG00000145675/ENSG00000151929/ENSG00000166949/ENSG00000174697/ENSG00000178028/ENSG00000184304/ENSG00000196924/ENSG00000203965",16
"GO:0060986","GO:0060986","endocrine hormone secretion","16/2281","64/21288",0.25,2.33318719859711,3.70024592255608,0.000933080254203999,0.0147497547018982,0.0115624868275779,"ENSG00000090565/ENSG00000122641/ENSG00000132170/ENSG00000135111/ENSG00000136830/ENSG00000137869/ENSG00000144747/ENSG00000144891/ENSG00000156675/ENSG00000163083/ENSG00000165125/ENSG00000173918/ENSG00000174697/ENSG00000174804/ENSG00000179295/ENSG00000198832",16
"GO:0043500","GO:0043500","muscle adaptation","25/2281","121/21288",0.206611570247934,1.9282538831381,3.54725892674217,0.000941219853441872,0.0148034679216399,0.0116045931817704,"ENSG00000003402/ENSG00000008083/ENSG00000028137/ENSG00000066135/ENSG00000067900/ENSG00000068305/ENSG00000071282/ENSG00000100292/ENSG00000106462/ENSG00000114861/ENSG00000117152/ENSG00000118689/ENSG00000119508/ENSG00000129484/ENSG00000132170/ENSG00000134318/ENSG00000138735/ENSG00000148180/ENSG00000148400/ENSG00000150907/ENSG00000156804/ENSG00000163884/ENSG00000166949/ENSG00000172399/ENSG00000174437",25
"GO:0046822","GO:0046822","regulation of nucleocytoplasmic transport","25/2281","121/21288",0.206611570247934,1.9282538831381,3.54725892674217,0.000941219853441872,0.0148034679216399,0.0116045931817704,"ENSG00000058272/ENSG00000073756/ENSG00000080815/ENSG00000080824/ENSG00000088888/ENSG00000096968/ENSG00000106571/ENSG00000107882/ENSG00000112062/ENSG00000125676/ENSG00000135272/ENSG00000135679/ENSG00000137331/ENSG00000145675/ENSG00000151929/ENSG00000152332/ENSG00000166949/ENSG00000171033/ENSG00000174697/ENSG00000178028/ENSG00000179295/ENSG00000184304/ENSG00000187446/ENSG00000196924/ENSG00000203965",25
"GO:0022406","GO:0022406","membrane docking","21/2281","95/21288",0.221052631578947,2.06302868086481,3.59727509557438,0.000947106815435412,0.0148586305416551,0.0116478357359817,"ENSG00000062716/ENSG00000067900/ENSG00000079950/ENSG00000099365/ENSG00000101558/ENSG00000104142/ENSG00000105971/ENSG00000111450/ENSG00000112276/ENSG00000117758/ENSG00000117868/ENSG00000124164/ENSG00000135604/ENSG00000135823/ENSG00000144036/ENSG00000144118/ENSG00000162692/ENSG00000174437/ENSG00000182473/ENSG00000187446/ENSG00000198668",21
"GO:1905475","GO:1905475","regulation of protein localization to membrane","36/2281","197/21288",0.182741116751269,1.7054769370456,3.44612029353072,0.000971202522042882,0.0151984675379342,0.0119142375082427,"ENSG00000063660/ENSG00000075624/ENSG00000076716/ENSG00000079950/ENSG00000095637/ENSG00000099904/ENSG00000121879/ENSG00000122679/ENSG00000123610/ENSG00000123983/ENSG00000132376/ENSG00000132612/ENSG00000133216/ENSG00000135926/ENSG00000145506/ENSG00000145675/ENSG00000148175/ENSG00000148180/ENSG00000153823/ENSG00000157916/ENSG00000161011/ENSG00000162878/ENSG00000163818/ENSG00000164850/ENSG00000166997/ENSG00000167193/ENSG00000168502/ENSG00000169410/ENSG00000170759/ENSG00000171132/ENSG00000186198/ENSG00000187446/ENSG00000197879/ENSG00000203965/ENSG00000213420/ENSG00000260230",36
